,title,title_ruby,announcement_date,release_date,production_type
1,大衆音楽,タイシュウオンガク,2019-12-20,2019-12-27,ep
2,フロップニク,フロップニク,2020-06-01,2020-06-01,single
3,常夜燈,ジョウヤトウ,2020-07-28,2020-07-28,single
4,GANG AGE,ギャングエイジ,2020-07-28,2020-09-30,ep
5,113号室,イチイチサンゴウシツ,2020-12-20,2020-12-25,ep
6,スラップスティック・ガール,スラップスティックガール,2021-03-31,2021-03-31,single
7,"Something Sweet, Something Excellent",スムシングスイートサムシングエクセレント,2021-03-31,2021-04-28,ep
8,ゴースト,ゴースト,2021-08-31,2021-08-31,single
9,PEOPLE,ピープル,2021-09-01,2021-09-01,single
10,怪獣,カイジュウ,2021-09-01,2021-10-01,single
11,スクール!!,スクール,2021-09-01,2021-11-01,single
12,PEOPLE,ピープル,2021-09-01,2021-11-24,album
13,銃の部品,ジュウノブヒン,2022-03-31,2022-04-20,single
14,Re:銃の部品 feat.TOOBOE,アールイージュウノブヒンフィートトオボエ,2022-05-20,2022-05-20,single
15,YOUNG TOWN,ヤングタウン,2022-04-26,2022-06-01,single
16,紫陽花,アジサイ,2022-05-30,2022-06-29,single
17,Deadstock feat. きのぽっぽ,デッドストックフィートキノポッポ,2021-08-21,2021-08-24,single
18,Re:Deadstock feat. WurtS,アールイーデッドストックフィートワーツ,2022-09-21,2022-09-28,single
19,DOGLAND,ドッグランド,2022-09-19,2022-12-14,single
20,Ratpark feat. 菅原圭,ラットパークフィートスガワラケイ,2023-02-22,2023-03-31,single
21,GOLD,ゴールド,2023-03-19,2023-04-14,single
22,GOLD,ゴールド,2023-03-19,2023-05-17,single
23,closer,クローザー,2023-08-02,2023-08-09,single
24,PEOPLE SAVE THE MACHINE,ピープルセーブザマシーン,2023-10-10,2023-10-10,single
25,星巡り、君に金星,ホシメグリキミニキンセイ,2023-10-10,2024-01-10,album
26,ドキドキする,ドキドキスル,2023-10-01,2023-11-01,single
27,ハートブレイク・ダンスミュージック,ハートブレイクダンスミュージック,2023-10-10,2023-12-25,single
28,idiot,イディオット,2024-07-11,2024-08-21,single
29,メリバ,メリバ,2024-09-12,2024-10-09,single
30,PEOPLE IN THE GAS STATION,ピープルインザガスステーション,2024-03-23,2024-06-05,movie